Count of combinations
% num: 1048576
dict_keys(['k_10', 'k_12', 'k_2', 'k_9'])
(6, 9, 0, 9): 80
(7, 10, 0, 4): 96
(6, 8, 0, 4): 80
(6, 6, 0, 10): 96
(7, 13, 0, 12): 80
(6, 9, 0, 4): 80
(6, 3, 0, 10): 96
(6, 11, 2, 2): 64
(6, 13, 0, 0): 80
(7, 6, 0, 3): 96
(6, 13, 0, 1): 80
(6, 13, 2, 13): 112
(6, 8, 0, 1): 80
(6, 7, 0, 3): 96
(7, 8, 0, 8): 80
(6, 6, 2, 10): 96
(6, 5, 0, 12): 48
(6, 6, 0, 6): 96
(6, 5, 0, 1): 48
(6, 3, 0, 6): 96
(6, 0, 0, 5): 112
(6, 4, 0, 1): 48
(7, 3, 0, 14): 96
(6, 11, 0, 11): 64
(6, 4, 2, 1): 80
(6, 4, 0, 4): 48
(6, 11, 0, 6): 64
(7, 4, 0, 12): 48
(6, 1, 0, 4): 48
(6, 10, 0, 3): 64
(8, 2, 0, 0): 128
(6, 10, 0, 6): 64
(6, 3, 2, 6): 96
(6, 15, 0, 3): 64
(8, 9, 0, 7): 96
(6, 5, 0, 15): 48
(6, 15, 0, 6): 64
(6, 15, 0, 11): 64
(6, 8, 2, 4): 48
(6, 13, 0, 4): 80
(8, 7, 0, 5): 128
(6, 7, 0, 9): 32
(7, 13, 0, 5): 80
(6, 11, 0, 14): 64
(7, 13, 0, 8): 80
(6, 14, 2, 3): 64
(6, 14, 0, 11): 64
(6, 14, 0, 14): 64
(6, 9, 0, 2): 48
(8, 5, 0, 11): 96
(6, 12, 2, 8): 112
(7, 15, 0, 15): 64
(6, 9, 0, 12): 80
(7, 15, 0, 2): 64
(6, 2, 0, 13): 32
(7, 12, 0, 5): 80
(7, 9, 0, 0): 80
(8, 11, 0, 15): 64
(7, 12, 0, 0): 80
(6, 10, 2, 14): 64
(6, 1, 0, 10): 48
(7, 0, 0, 0): 112
(8, 0, 0, 9): 32
(6, 1, 2, 12): 80
(7, 14, 0, 7): 64
(6, 14, 0, 1): 96
(7, 0, 0, 13): 112
(7, 11, 0, 7): 64
(8, 15, 0, 2): 64
(7, 1, 2, 0): 80
(7, 1, 0, 0): 112
(7, 1, 0, 5): 112
(7, 11, 0, 14): 64
(6, 12, 0, 6): 48
(8, 13, 0, 13): 32
(7, 4, 0, 5): 112
(7, 10, 2, 7): 64
(7, 10, 0, 11): 64
(6, 10, 0, 4): 96
(8, 4, 0, 10): 96
(7, 10, 0, 14): 64
(7, 5, 0, 10): 48
(7, 4, 0, 15): 48
(7, 5, 0, 7): 48
(7, 15, 0, 11): 64
(8, 3, 0, 1): 128
(7, 12, 2, 5): 112
(8, 8, 0, 6): 96
(7, 7, 0, 12): 32
(7, 6, 0, 9): 32
(7, 7, 0, 1): 32
(7, 1, 0, 15): 48
(6, 8, 0, 8): 80
(7, 4, 0, 10): 48
(7, 8, 0, 2): 48
(8, 6, 0, 4): 128
(7, 14, 2, 11): 64
(6, 3, 0, 14): 96
(7, 3, 0, 9): 32
(7, 6, 0, 12): 32
(7, 9, 0, 10): 48
(8, 10, 0, 3): 64
(6, 4, 0, 12): 48
(7, 13, 0, 2): 48
(7, 3, 0, 13): 32
(7, 8, 2, 15): 48
(7, 8, 0, 7): 48
(8, 12, 0, 8): 32
(7, 6, 0, 13): 32
(7, 9, 0, 7): 48
(7, 2, 0, 5): 32
(7, 0, 0, 10): 48
(9, 2, 0, 0): 128
(7, 3, 2, 9): 32
(7, 3, 0, 8): 32
(8, 14, 0, 14): 64
(7, 15, 0, 1): 96
(7, 2, 0, 8): 32
(7, 4, 2, 2): 48
(9, 9, 0, 7): 96
(7, 1, 0, 2): 48
(8, 1, 0, 12): 32
(7, 0, 0, 15): 48
(9, 6, 0, 0): 128
(7, 13, 0, 6): 48
(7, 14, 0, 9): 96
(7, 10, 0, 1): 96
(9, 7, 0, 5): 128
